00000.ppm;  16;0.01720
00001.ppm;   1;0.01557
00002.ppm;  38;0.01688
00003.ppm;  33;0.01335
00004.ppm;  11;0.01574
00005.ppm;  38;0.01697
00006.ppm;  18;0.01406
00007.ppm;  12;0.01236
00008.ppm;  25;0.01600
00009.ppm;  35;0.01418
00010.ppm;  12;0.01603
00011.ppm;   7;0.01312
00012.ppm;  23;0.01164
00013.ppm;   7;0.01219
00014.ppm;   4;0.01149
00015.ppm;   9;0.01313
00016.ppm;  21;0.01219
00017.ppm;  20;0.01251
00018.ppm;  27;0.01235
00019.ppm;  38;0.01370
00020.ppm;   4;0.01465
00021.ppm;  33;0.01430
00022.ppm;   9;0.01553
00023.ppm;   3;0.01084
00024.ppm;   1;0.01308
00025.ppm;  11;0.01458
00026.ppm;  13;0.01678
00027.ppm;  10;0.01544
00028.ppm;   9;0.01395
00029.ppm;  11;0.01452
00030.ppm;   5;0.00916
00031.ppm;  17;0.01820
00032.ppm;  34;0.01323
00033.ppm;  23;0.01010
00034.ppm;   2;0.01506
00035.ppm;  17;0.01806
00036.ppm;   3;0.01125
00037.ppm;  12;0.01799
00038.ppm;  16;0.01711
00039.ppm;   8;0.00753
00040.ppm;   7;0.01442
00041.ppm;  30;0.01280
00042.ppm;  18;0.01286
00043.ppm;  12;0.01598
00044.ppm;  24;0.01323
00045.ppm;  25;0.01001
00046.ppm;   3;0.00998
00047.ppm;  10;0.01633
00048.ppm;  18;0.01348
00049.ppm;   1;0.00527
00050.ppm;  18;0.00544
00051.ppm;  13;0.01597
00052.ppm;  15;0.00690
00053.ppm;   9;0.01605
00054.ppm;  13;0.01650
00055.ppm;  35;0.01301
00056.ppm;   5;0.01337
00057.ppm;  26;0.01294
00058.ppm;   9;0.01502
00059.ppm;  16;0.01430
00060.ppm;  38;0.01689
00061.ppm;  10;0.01485
00062.ppm;   4;0.01403
00063.ppm;   9;0.01516
00064.ppm;  15;0.00629
00065.ppm;   9;0.01653
00066.ppm;  26;0.00965
00067.ppm;   2;0.01391
00068.ppm;   5;0.01046
00069.ppm;  28;0.01356
00070.ppm;  11;0.01493
00071.ppm;  25;0.01613
00072.ppm;  30;0.00602
00073.ppm;  34;0.01402
00074.ppm;   5;0.01286
00075.ppm;  12;0.01787
00076.ppm;   1;0.00770
00077.ppm;  10;0.01656
00078.ppm;  25;0.00971
00079.ppm;  25;0.00911
00080.ppm;  21;0.01218
00081.ppm;  33;0.01540
00082.ppm;  25;0.01539
00083.ppm;   7;0.01199
00084.ppm;  10;0.01655
00085.ppm;  35;0.01483
00086.ppm;   3;0.01199
00087.ppm;   7;0.00873
00088.ppm;  22;0.01501
00089.ppm;  13;0.01543
00090.ppm;   3;0.01267
00091.ppm;   1;0.01352
00092.ppm;   2;0.01299
00093.ppm;  14;0.01818
00094.ppm;  12;0.01759
00095.ppm;  32;0.01109
00096.ppm;   3;0.01330
00097.ppm;  38;0.01622
00098.ppm;   9;0.01687
00099.ppm;  33;0.01561
00100.ppm;   1;0.01302
00101.ppm;  10;0.01624
00102.ppm;   5;0.01299
00103.ppm;  11;0.01425
00104.ppm;  33;0.01389
00105.ppm;   4;0.01468
00106.ppm;  35;0.01611
00107.ppm;  25;0.01609
00108.ppm;  33;0.00920
00109.ppm;   4;0.01530
00110.ppm;   1;0.01130
00111.ppm;  14;0.01825
00112.ppm;  16;0.01470
00113.ppm;  10;0.01608
00114.ppm;  20;0.00534
