00000_00000_00004.ppm 30 32 5 6 25 26 0
00000_00000_00011.ppm 37 38 6 6 32 33 0
00000_00001_00013.ppm 36 36 5 6 31 31 0
00000_00001_00015.ppm 38 38 5 6 32 33 0
00000_00001_00029.ppm 59 61 5 5 54 55 0
00000_00002_00005.ppm 31 31 6 6 26 26 0
00000_00002_00019.ppm 51 50 6 5 46 45 0
00000_00002_00024.ppm 69 70 7 6 63 64 0
00000_00002_00027.ppm 92 95 8 9 84 87 0
00000_00003_00011.ppm 37 37 6 6 31 31 0
00000_00003_00024.ppm 64 61 5 5 59 56 0
00000_00004_00008.ppm 63 69 6 6 58 63 0
00000_00005_00009.ppm 34 33 6 6 29 28 0
00000_00005_00014.ppm 38 37 5 5 33 32 0
00000_00005_00015.ppm 42 39 6 5 36 34 0
00000_00005_00019.ppm 47 45 5 5 42 40 0
00000_00006_00003.ppm 36 39 5 6 31 34 0
00000_00006_00005.ppm 38 40 6 6 32 35 0
00000_00006_00010.ppm 42 45 5 5 37 39 0
00000_00006_00014.ppm 50 53 5 6 45 48 0
00001_00002_00017.ppm 54 56 6 6 48 50 1
00001_00006_00019.ppm 64 77 5 7 59 71 1
00001_00007_00002.ppm 52 52 5 5 47 46 1
00001_00010_00021.ppm 48 49 5 6 43 44 1
00001_00025_00010.ppm 34 31 6 5 28 26 1
00001_00027_00008.ppm 34 34 5 6 28 29 1
00001_00027_00027.ppm 76 81 6 7 70 74 1
00001_00029_00025.ppm 86 87 7 7 79 80 1
00001_00030_00006.ppm 33 41 5 6 28 36 1
00001_00039_00026.ppm 86 96 7 9 79 88 1
00001_00040_00013.ppm 44 47 5 6 39 42 1
00001_00044_00000.ppm 38 37 6 5 33 32 1
00001_00051_00004.ppm 33 34 5 5 28 29 1
00001_00051_00025.ppm 71 72 6 7 65 66 1
00001_00062_00011.ppm 38 38 6 6 32 32 1
00001_00066_00013.ppm 48 49 5 6 42 43 1
00001_00067_00014.ppm 46 46 6 6 40 40 1
00001_00068_00015.ppm 37 38 5 6 32 33 1
00001_00071_00004.ppm 37 38 5 6 32 33 1
00001_00073_00024.ppm 72 75 7 7 66 69 1
00002_00007_00021.ppm 52 51 5 5 47 46 2
00002_00012_00007.ppm 48 48 5 6 43 43 2
00002_00012_00010.ppm 52 51 5 5 47 46 2
00002_00013_00009.ppm 32 34 5 6 27 29 2
00002_00018_00011.ppm 34 34 6 6 29 28 2
00002_00020_00022.ppm 45 48 5 5 40 43 2
00002_00022_00006.ppm 30 30 5 5 25 25 2
00002_00025_00025.ppm 59 61 5 6 54 56 2
00002_00026_00025.ppm 62 62 6 6 57 57 2
00002_00027_00001.ppm 27 28 5 6 22 23 2
00002_00028_00014.ppm 40 40 6 6 35 35 2
00002_00030_00001.ppm 34 31 5 5 28 25 2
00002_00031_00013.ppm 37 39 6 6 31 33 2
00002_00044_00006.ppm 33 33 6 6 28 28 2
00002_00047_00018.ppm 35 35 6 6 30 30 2
00002_00052_00029.ppm 136 130 11 11 125 119 2
00002_00062_00024.ppm 70 75 6 6 64 69 2
00002_00063_00018.ppm 35 35 5 5 30 30 2
00002_00069_00001.ppm 26 27 5 5 21 22 2
00002_00069_00010.ppm 29 31 5 6 24 26 2
00003_00000_00018.ppm 41 42 5 5 36 37 3
00003_00001_00013.ppm 35 34 6 6 29 29 3
00003_00003_00010.ppm 37 37 6 5 32 32 3
00003_00015_00027.ppm 42 42 5 5 37 37 3
00003_00018_00016.ppm 47 47 5 5 42 42 3
00003_00019_00006.ppm 34 36 5 6 29 31 3
00003_00021_00012.ppm 35 38 5 6 30 33 3
00003_00021_00018.ppm 46 48 5 6 41 43 3
00003_00023_00025.ppm 74 75 6 6 68 69 3
00003_00027_00017.ppm 36 38 6 5 31 33 3
00003_00029_00000.ppm 27 25 5 5 21 20 3
00003_00031_00005.ppm 28 29 6 6 22 24 3
00003_00035_00028.ppm 76 75 7 6 70 69 3
00003_00037_00008.ppm 29 31 5 6 24 26 3
00003_00038_00010.ppm 31 32 5 6 26 27 3
00003_00040_00020.ppm 37 38 6 6 32 33 3
00003_00040_00027.ppm 43 45 5 6 38 40 3
00003_00042_00014.ppm 38 39 6 6 33 34 3
00003_00043_00006.ppm 30 30 6 5 25 25 3
00003_00044_00000.ppm 28 29 6 6 23 24 3
00004_00007_00001.ppm 29 30 6 6 24 25 4
00004_00008_00013.ppm 34 38 5 6 29 32 4
00004_00016_00012.ppm 35 37 6 5 30 32 4
00004_00019_00024.ppm 80 79 8 7 73 72 4
00004_00022_00007.ppm 33 34 6 6 28 29 4
00004_00023_00028.ppm 44 45 5 6 39 40 4
00004_00029_00024.ppm 62 62 6 6 57 57 4
00004_00033_00029.ppm 100 105 8 10 92 96 4
00004_00036_00006.ppm 34 34 5 6 28 29 4
00004_00037_00008.ppm 34 34 5 5 29 29 4
00004_00038_00019.ppm 46 46 6 6 41 41 4
00004_00038_00027.ppm 61 61 6 6 56 56 4
00004_00040_00014.ppm 36 37 5 6 31 32 4
00004_00043_00015.ppm 41 40 6 5 36 35 4
00004_00043_00025.ppm 72 71 7 6 66 65 4
00004_00046_00008.ppm 33 34 5 6 27 28 4
00004_00051_00026.ppm 76 76 6 6 70 70 4
00004_00053_00023.ppm 79 73 7 6 72 67 4
00004_00055_00009.ppm 37 32 6 5 32 27 4
00004_00057_00013.ppm 35 36 5 6 30 31 4
00005_00001_00012.ppm 32 32 6 5 26 26 5
00005_00002_00002.ppm 28 27 5 6 23 22 5
00005_00002_00018.ppm 37 37 6 5 32 32 5
00005_00016_00021.ppm 53 54 5 6 48 49 5
00005_00022_00014.ppm 41 40 6 5 36 35 5
