00000_00000_00004.ppm 30 32 5 6 25 26 0
00000_00000_00011.ppm 37 38 15 7 41 34 0
00000_00001_00013.ppm 36 36 5 7 31 32 0
00000_00001_00015.ppm 38 38 5 6 32 33 0
00000_00001_00029.ppm 59 61 6 5 55 55 0
00000_00002_00005.ppm 31 31 6 6 26 26 0
00000_00002_00019.ppm 51 50 6 5 46 45 0
00000_00002_00024.ppm 69 70 8 6 64 64 0
00000_00002_00027.ppm 92 95 8 10 84 88 0
00000_00003_00011.ppm 37 37 7 7 32 32 0
00000_00003_00024.ppm 64 61 5 5 59 56 0
00000_00004_00008.ppm 63 69 7 6 59 63 0
00000_00005_00009.ppm 34 33 6 6 29 28 0
00000_00005_00014.ppm 38 37 5 5 33 32 0
00000_00005_00015.ppm 42 39 6 5 36 34 0
00000_00005_00019.ppm 47 45 5 5 42 40 0
00000_00006_00003.ppm 36 39 5 6 31 34 0
00000_00006_00005.ppm 38 40 7 6 33 35 0
00000_00006_00010.ppm 42 45 5 6 37 40 0
00000_00006_00014.ppm 50 53 6 7 46 49 0
00001_00002_00017.ppm 54 56 6 6 48 50 1
00001_00006_00019.ppm 64 77 5 8 59 72 1
00001_00007_00002.ppm 52 52 5 6 47 47 1
00001_00010_00021.ppm 48 49 5 6 43 44 1
00001_00025_00010.ppm 34 31 6 5 28 26 1
00001_00027_00008.ppm 34 34 5 9 28 32 1
00001_00027_00027.ppm 76 81 8 7 72 74 1
00001_00029_00025.ppm 86 87 7 9 79 82 1
00001_00030_00006.ppm 33 41 5 6 28 36 1
00001_00039_00026.ppm 86 96 9 10 81 89 1
00001_00040_00013.ppm 44 47 5 6 39 42 1
00001_00044_00000.ppm 38 37 7 7 34 34 1
00001_00051_00004.ppm 33 34 6 5 29 29 1
00001_00051_00025.ppm 71 72 7 7 66 66 1
00001_00062_00011.ppm 38 38 6 7 32 33 1
00001_00066_00013.ppm 48 49 5 7 42 44 1
00001_00067_00014.ppm 46 46 7 8 41 42 1
00001_00068_00015.ppm 37 38 5 7 32 34 1
00001_00071_00004.ppm 37 38 10 7 37 34 1
00001_00073_00024.ppm 72 75 7 8 66 70 1
00002_00007_00021.ppm 52 51 6 6 48 47 2
00002_00012_00007.ppm 48 48 5 7 43 44 2
00002_00012_00010.ppm 52 51 6 5 48 46 2
00002_00013_00009.ppm 32 34 5 6 27 29 2
00002_00018_00011.ppm 34 34 6 6 29 28 2
00002_00020_00022.ppm 45 48 6 6 41 44 2
00002_00022_00006.ppm 30 30 5 5 25 25 2
00002_00025_00025.ppm 59 61 9 7 58 57 2
00002_00026_00025.ppm 62 62 7 6 58 57 2
00002_00027_00001.ppm 27 28 6 7 23 24 2
00002_00028_00014.ppm 40 40 6 6 35 35 2
00002_00030_00001.ppm 34 31 5 5 28 25 2
00002_00031_00013.ppm 37 39 6 6 31 33 2
00002_00044_00006.ppm 33 33 6 6 28 28 2
00002_00047_00018.ppm 35 35 7 6 31 30 2
00002_00052_00029.ppm 136 130 11 12 125 120 2
