00000_00000_00000.ppm 29 30 5 6 24 25 0
00000_00000_00001.ppm 30 30 5 5 25 25 0
00000_00000_00002.ppm 30 30 5 5 25 25 0
00000_00000_00003.ppm 31 31 5 5 26 26 0
00000_00000_00004.ppm 30 32 5 7 25 27 0
00000_00000_00005.ppm 31 31 7 8 27 28 0
00000_00000_00006.ppm 33 34 7 7 29 29 0
00000_00000_00007.ppm 34 35 6 7 29 31 0
00000_00000_00008.ppm 33 34 6 6 29 30 0
00000_00000_00009.ppm 36 36 6 6 30 31 0
00000_00000_00010.ppm 35 36 5 6 30 32 0
00000_00000_00011.ppm 37 38 7 7 33 34 0
00000_00000_00012.ppm 37 38 5 7 32 34 0
00000_00000_00013.ppm 40 39 6 5 35 34 0
00000_00000_00014.ppm 41 42 5 7 36 38 0
00000_00000_00015.ppm 44 44 7 7 40 40 0
00000_00000_00016.ppm 46 44 7 6 42 40 0
00000_00000_00017.ppm 47 48 7 7 43 43 0
00000_00000_00018.ppm 50 48 6 6 46 44 0
00000_00000_00019.ppm 53 51 6 5 49 46 0
00000_00000_00020.ppm 57 54 6 6 51 50 0
00000_00000_00021.ppm 59 58 6 7 53 54 0
00000_00000_00022.ppm 63 61 6 6 57 57 0
00000_00000_00023.ppm 70 70 8 8 65 65 0
00000_00000_00024.ppm 76 76 8 8 71 71 0
00000_00000_00025.ppm 85 86 7 9 78 80 0
00000_00000_00026.ppm 97 97 8 8 89 88 0
00000_00000_00027.ppm 108 110 11 11 101 102 0
00000_00000_00028.ppm 124 127 11 12 114 117 0
00000_00000_00029.ppm 144 148 14 15 134 138 0
00000_00001_00000.ppm 29 30 7 6 25 25 0
00000_00001_00001.ppm 30 30 6 5 25 25 0
00000_00001_00002.ppm 30 29 7 6 26 25 0
00000_00001_00003.ppm 31 31 7 7 27 27 0
00000_00001_00004.ppm 31 31 5 6 26 27 0
00000_00001_00005.ppm 32 32 6 7 27 28 0
00000_00001_00006.ppm 33 34 5 7 28 30 0
00000_00001_00007.ppm 34 33 6 6 29 29 0
00000_00001_00008.ppm 33 33 5 6 28 29 0
00000_00001_00009.ppm 34 33 6 5 29 28 0
00000_00001_00010.ppm 36 35 6 5 30 29 0
00000_00001_00011.ppm 35 36 5 7 30 32 0
00000_00001_00012.ppm 36 36 6 6 31 31 0
00000_00001_00013.ppm 36 36 5 7 31 32 0
00000_00001_00014.ppm 37 36 6 5 32 31 0
00000_00001_00015.ppm 38 38 6 6 33 33 0
