00054.ppm;1117;473;1146;502;0
00203.ppm;758;375;784;400;0
00260.ppm;720;266;784;330;0
00274.ppm;975;395;1011;430;0
00011.ppm;720;338;770;398;1
00012.ppm;979;364;1034;418;1
00023.ppm;998;292;1074;371;1
00026.ppm;453;411;492;451;1
00056.ppm;729;436;760;467;1
00057.ppm;990;418;1036;467;1
00071.ppm;794;474;822;502;1
00085.ppm;846;429;875;458;1
00093.ppm;1076;339;1119;389;1
00093.ppm;344;397;379;436;1
00095.ppm;698;461;719;481;1
00107.ppm;490;536;529;576;1
00130.ppm;209;426;236;453;1
00130.ppm;601;431;626;456;1
00131.ppm;474;389;500;415;1
00134.ppm;1008;299;1073;365;1
00135.ppm;718;298;777;356;1
00151.ppm;794;372;824;401;1
00165.ppm;382;412;399;431;1
00166.ppm;814;382;848;416;1
00172.ppm;718;418;737;437;1
00173.ppm;1111;279;1161;329;1
00184.ppm;790;273;850;334;1
00192.ppm;314;440;334;461;1
00204.ppm;858;151;946;242;1
00217.ppm;971;267;1031;328;1
00220.ppm;1127;285;1168;326;1
00222.ppm;985;354;1022;390;1
00223.ppm;816;334;858;374;1
00224.ppm;923;276;977;341;1
00225.ppm;856;268;924;334;1
00226.ppm;1152;224;1220;290;1
00228.ppm;937;295;998;356;1
00229.ppm;1273;384;1305;417;1
00230.ppm;974;398;1002;426;1
00231.ppm;1146;362;1183;399;1
00234.ppm;1051;275;1115;338;1
00238.ppm;849;443;877;471;1
00239.ppm;792;439;812;458;1
00240.ppm;847;364;879;396;1
00252.ppm;910;326;956;372;1
00259.ppm;1202;329;1247;374;1
00265.ppm;805;458;827;480;1
00339.ppm;627;442;660;476;1
00459.ppm;884;548;909;573;1
00470.ppm;823;489;847;513;1
00494.ppm;1113;300;1211;395;1
00544.ppm;744;438;762;458;1
00004.ppm;906;407;955;459;2
00006.ppm;926;350;989;414;2
00008.ppm;785;460;811;486;2
00013.ppm;1043;281;1120;356;2
00019.ppm;845;423;888;465;2
00027.ppm;102;375;157;430;2
00027.ppm;969;386;1024;441;2
00060.ppm;819;441;842;464;2
00061.ppm;1224;333;1285;394;2
00064.ppm;786;447;808;470;2
00069.ppm;817;459;838;480;2
00073.ppm;430;453;452;475;2
00073.ppm;727;457;748;477;2
00076.ppm;789;471;815;495;2
00120.ppm;58;243;164;345;2
00125.ppm;1019;313;1106;401;2
00126.ppm;379;365;411;396;2
00126.ppm;840;374;868;404;2
00141.ppm;857;379;894;416;2
00142.ppm;816;454;835;473;2
00146.ppm;711;427;729;445;2
00150.ppm;824;345;865;386;2
00167.ppm;369;446;392;469;2
00167.ppm;729;433;750;455;2
00169.ppm;1089;153;1212;276;2
00174.ppm;723;443;747;467;2
00176.ppm;850;414;875;440;2
00178.ppm;728;456;748;476;2
00180.ppm;968;384;1004;421;2
00182.ppm;656;412;685;441;2
00185.ppm;967;150;1076;257;2
00187.ppm;161;393;194;428;2
00187.ppm;675;405;709;439;2
00241.ppm;838;400;880;442;2
00243.ppm;843;447;867;470;2
00249.ppm;1212;419;1244;452;2
00250.ppm;907;446;932;471;2
00254.ppm;1172;270;1237;336;2
00263.ppm;646;417;666;437;2
00268.ppm;891;396;917;422;2
00270.ppm;1237;279;1291;332;2
00270.ppm;243;335;293;386;2
00271.ppm;1090;341;1130;381;2
00271.ppm;259;369;297;408;2
00280.ppm;1054;392;1083;422;2
00281.ppm;984;392;1017;425;2
00284.ppm;993;347;1051;404;2
00287.ppm;1113;370;1154;411;2
00298.ppm;1238;256;1314;331;2
00300.ppm;779;420;801;443;2
00301.ppm;1075;318;1125;368;2
00303.ppm;1186;385;1215;414;2
00330.ppm;1050;313;1116;381;2
00334.ppm;760;435;797;472;2
00338.ppm;1000;426;1029;453;2
00338.ppm;505;425;536;453;2
00457.ppm;1243;418;1301;475;2
00457.ppm;517;466;554;504;2
00480.ppm;1055;444;1103;492;2
