p = 0.168000; confidence = 0.440000; image = 0; scale_factor = 0.979780; x = 959; y = 294
p = 0.168000; confidence = 0.450000; image = 0; scale_factor = 0.979780; x = 960; y = 293
p = 0.342900; confidence = 0.650000; image = 1; scale_factor = 0.472500; x = 113; y = 328
p = 0.972500; confidence = 0.710000; image = 1; scale_factor = 0.567000; x = 124; y = 315
p = 0.618400; confidence = 0.700000; image = 1; scale_factor = 0.567000; x = 114; y = 316
p = 0.455400; confidence = 0.510000; image = 1; scale_factor = 0.816480; x = 314; y = 393
p = 0.455400; confidence = 0.560000; image = 1; scale_factor = 0.816480; x = 315; y = 392
p = 0.455400; confidence = 0.550000; image = 1; scale_factor = 0.816480; x = 318; y = 392
p = 0.129700; confidence = 0.600000; image = 1; scale_factor = 1.693050; x = 1083; y = 185
p = 0.129700; confidence = 0.510000; image = 1; scale_factor = 1.693050; x = 1084; y = 184
p = 0.177200; confidence = 0.500000; image = 1; scale_factor = 1.693050; x = 458; y = 345
p = 0.676400; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1084; y = 186
p = 0.676400; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1083; y = 186
p = 0.121200; confidence = 0.400000; image = 2; scale_factor = 0.680400; x = 897; y = 289
p = 0.187700; confidence = 0.470000; image = 2; scale_factor = 0.816480; x = 454; y = 240
p = 0.627800; confidence = 0.580000; image = 2; scale_factor = 0.979780; x = 455; y = 243
p = 0.160200; confidence = 0.490000; image = 2; scale_factor = 0.979780; x = 464; y = 243
p = 0.111100; confidence = 0.480000; image = 2; scale_factor = 0.979780; x = 900; y = 285
p = 0.970900; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.320600; confidence = 0.520000; image = 2; scale_factor = 0.979780; x = 458; y = 239
p = 0.111100; confidence = 0.430000; image = 2; scale_factor = 0.979780; x = 890; y = 289
p = 0.879200; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 458; y = 237
p = 0.963000; confidence = 0.650000; image = 2; scale_factor = 1.175730; x = 463; y = 242
p = 0.131500; confidence = 0.510000; image = 2; scale_factor = 1.175730; x = 1286; y = 226
p = 0.879200; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 462; y = 238
p = 0.131500; confidence = 0.540000; image = 2; scale_factor = 1.175730; x = 1279; y = 235
p = 0.170900; confidence = 0.570000; image = 2; scale_factor = 1.410880; x = 454; y = 239
p = 0.170900; confidence = 0.560000; image = 2; scale_factor = 1.410880; x = 454; y = 234
p = 0.910300; confidence = 0.630000; image = 3; scale_factor = 0.472500; x = 388; y = 332
p = 0.910300; confidence = 0.640000; image = 3; scale_factor = 0.472500; x = 386; y = 330
p = 0.969200; confidence = 0.670000; image = 3; scale_factor = 0.567000; x = 395; y = 319
p = 0.969200; confidence = 0.640000; image = 3; scale_factor = 0.567000; x = 395; y = 311
p = 0.405400; confidence = 0.550000; image = 3; scale_factor = 0.567000; x = 388; y = 321
p = 0.640300; confidence = 0.500000; image = 3; scale_factor = 0.680400; x = 406; y = 319
p = 0.160200; confidence = 0.400000; image = 3; scale_factor = 0.979780; x = 518; y = 297
p = 0.129600; confidence = 0.420000; image = 3; scale_factor = 1.175730; x = 449; y = 304
p = 0.267600; confidence = 0.520000; image = 3; scale_factor = 1.175730; x = 1176; y = 359
p = 0.267600; confidence = 0.520000; image = 3; scale_factor = 1.175730; x = 1177; y = 360
p = 0.127600; confidence = 0.510000; image = 3; scale_factor = 2.031660; x = 281; y = 365
p = 0.342300; confidence = 0.500000; image = 4; scale_factor = 0.680400; x = 503; y = 197
p = 0.229000; confidence = 0.520000; image = 4; scale_factor = 0.979780; x = 1282; y = 347
p = 0.114800; confidence = 0.540000; image = 4; scale_factor = 1.410880; x = 1307; y = 335
