p = 0.972500; confidence = 0.710000; image = 1; scale_factor = 0.567000; x = 124; y = 315
p = 0.618400; confidence = 0.700000; image = 1; scale_factor = 0.567000; x = 114; y = 316
p = 0.455400; confidence = 0.510000; image = 1; scale_factor = 0.816480; x = 314; y = 393
p = 0.455400; confidence = 0.560000; image = 1; scale_factor = 0.816480; x = 315; y = 392
p = 0.455400; confidence = 0.550000; image = 1; scale_factor = 0.816480; x = 318; y = 392
p = 0.676400; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1084; y = 186
p = 0.676400; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1083; y = 186
p = 0.627800; confidence = 0.580000; image = 2; scale_factor = 0.979780; x = 455; y = 243
p = 0.970900; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.879200; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 458; y = 237
p = 0.963000; confidence = 0.650000; image = 2; scale_factor = 1.175730; x = 463; y = 242
p = 0.879200; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 462; y = 238
p = 0.910300; confidence = 0.630000; image = 3; scale_factor = 0.472500; x = 388; y = 332
p = 0.910300; confidence = 0.640000; image = 3; scale_factor = 0.472500; x = 386; y = 330
p = 0.969200; confidence = 0.670000; image = 3; scale_factor = 0.567000; x = 395; y = 319
p = 0.969200; confidence = 0.640000; image = 3; scale_factor = 0.567000; x = 395; y = 311
p = 0.405400; confidence = 0.550000; image = 3; scale_factor = 0.567000; x = 388; y = 321
p = 0.640300; confidence = 0.500000; image = 3; scale_factor = 0.680400; x = 406; y = 319
p = 0.966600; confidence = 0.680000; image = 5; scale_factor = 0.680400; x = 185; y = 270
p = 0.966600; confidence = 0.640000; image = 5; scale_factor = 0.680400; x = 187; y = 269
p = 0.549300; confidence = 0.540000; image = 5; scale_factor = 0.680400; x = 870; y = 277
p = 0.966600; confidence = 0.690000; image = 5; scale_factor = 0.680400; x = 184; y = 273
p = 0.998700; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.998700; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.998300; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 867; y = 283
p = 0.998700; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.998700; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.998400; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.998300; confidence = 0.770000; image = 5; scale_factor = 0.979780; x = 180; y = 268
p = 0.998300; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 184; y = 260
p = 1.000000; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 1.000000; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.998300; confidence = 0.750000; image = 5; scale_factor = 0.979780; x = 186; y = 260
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.997300; confidence = 0.740000; image = 5; scale_factor = 1.175730; x = 870; y = 285
p = 0.997300; confidence = 0.750000; image = 5; scale_factor = 1.175730; x = 869; y = 274
