p = 0.923600; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.722900; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 458; y = 237
p = 0.894200; confidence = 0.650000; image = 2; scale_factor = 1.175730; x = 463; y = 242
p = 0.722900; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 462; y = 238
p = 0.675400; confidence = 0.630000; image = 3; scale_factor = 0.472500; x = 388; y = 332
p = 0.675400; confidence = 0.640000; image = 3; scale_factor = 0.472500; x = 386; y = 330
p = 0.865200; confidence = 0.670000; image = 3; scale_factor = 0.567000; x = 395; y = 319
p = 0.865200; confidence = 0.640000; image = 3; scale_factor = 0.567000; x = 395; y = 311
p = 0.869600; confidence = 0.680000; image = 5; scale_factor = 0.680400; x = 185; y = 270
p = 0.869600; confidence = 0.640000; image = 5; scale_factor = 0.680400; x = 187; y = 269
p = 0.869600; confidence = 0.690000; image = 5; scale_factor = 0.680400; x = 184; y = 273
p = 0.956100; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.948600; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 867; y = 283
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.956100; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.952000; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.944500; confidence = 0.770000; image = 5; scale_factor = 0.979780; x = 180; y = 268
p = 0.944500; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 184; y = 260
p = 0.977300; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 0.977300; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.944500; confidence = 0.750000; image = 5; scale_factor = 0.979780; x = 186; y = 260
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.915400; confidence = 0.740000; image = 5; scale_factor = 1.175730; x = 870; y = 285
p = 0.915400; confidence = 0.750000; image = 5; scale_factor = 1.175730; x = 869; y = 274
p = 0.744000; confidence = 0.620000; image = 6; scale_factor = 1.693050; x = 460; y = 254
p = 0.770400; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 460; y = 254
p = 0.783100; confidence = 0.810000; image = 6; scale_factor = 2.031660; x = 460; y = 253
p = 0.770400; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 461; y = 254
p = 0.927800; confidence = 0.680000; image = 9; scale_factor = 0.816480; x = 332; y = 273
p = 0.927800; confidence = 0.620000; image = 9; scale_factor = 0.816480; x = 331; y = 272
p = 0.958100; confidence = 0.860000; image = 9; scale_factor = 0.979780; x = 325; y = 268
p = 0.943300; confidence = 0.870000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.977300; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.943300; confidence = 0.890000; image = 9; scale_factor = 0.979780; x = 826; y = 274
p = 0.882900; confidence = 0.700000; image = 9; scale_factor = 1.175730; x = 329; y = 262
p = 0.936900; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 329; y = 270
p = 0.882900; confidence = 0.630000; image = 9; scale_factor = 1.175730; x = 329; y = 277
p = 0.920900; confidence = 0.810000; image = 9; scale_factor = 1.175730; x = 829; y = 271
p = 0.915400; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 830; y = 277
p = 0.635500; confidence = 0.780000; image = 10; scale_factor = 1.410880; x = 928; y = 237
p = 0.635500; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 926; y = 237
p = 0.635500; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 930; y = 234
p = 0.614400; confidence = 0.750000; image = 10; scale_factor = 1.693050; x = 1189; y = 339
p = 0.903400; confidence = 0.650000; image = 11; scale_factor = 0.816480; x = 856; y = 260
p = 0.903400; confidence = 0.650000; image = 11; scale_factor = 0.816480; x = 855; y = 299
p = 0.887100; confidence = 0.680000; image = 11; scale_factor = 0.979780; x = 856; y = 259
p = 0.939300; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 261
p = 0.943300; confidence = 0.820000; image = 11; scale_factor = 0.979780; x = 854; y = 295
p = 0.939300; confidence = 0.780000; image = 11; scale_factor = 0.979780; x = 857; y = 297
p = 0.915400; confidence = 0.730000; image = 11; scale_factor = 1.175730; x = 859; y = 295
p = 0.846000; confidence = 0.660000; image = 11; scale_factor = 1.175730; x = 858; y = 300
p = 0.846000; confidence = 0.660000; image = 11; scale_factor = 1.175730; x = 856; y = 299
p = 0.617300; confidence = 0.800000; image = 11; scale_factor = 1.410880; x = 1294; y = 353
p = 0.617300; confidence = 0.800000; image = 11; scale_factor = 1.410880; x = 1287; y = 367
p = 0.782600; confidence = 0.720000; image = 13; scale_factor = 0.680400; x = 1150; y = 226
p = 0.646300; confidence = 0.610000; image = 13; scale_factor = 0.680400; x = 1157; y = 216
p = 0.904000; confidence = 0.810000; image = 13; scale_factor = 0.816480; x = 499; y = 233
p = 0.856500; confidence = 0.820000; image = 13; scale_factor = 0.816480; x = 1147; y = 221
p = 0.856500; confidence = 0.890000; image = 13; scale_factor = 0.816480; x = 1153; y = 217
p = 0.897500; confidence = 0.740000; image = 13; scale_factor = 0.816480; x = 502; y = 239
p = 0.953500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 495; y = 237
p = 0.887800; confidence = 0.870000; image = 13; scale_factor = 0.979780; x = 501; y = 237
p = 0.928500; confidence = 0.920000; image = 13; scale_factor = 0.979780; x = 1146; y = 220
p = 0.928500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 1149; y = 216
p = 0.887800; confidence = 0.890000; image = 13; scale_factor = 0.979780; x = 500; y = 233
p = 0.928500; confidence = 0.930000; image = 13; scale_factor = 0.979780; x = 1148; y = 219
p = 0.623000; confidence = 0.660000; image = 13; scale_factor = 1.175730; x = 1140; y = 219
p = 0.623000; confidence = 0.610000; image = 13; scale_factor = 1.175730; x = 1140; y = 217
p = 0.629100; confidence = 0.620000; image = 15; scale_factor = 1.175730; x = 898; y = 220
p = 0.699500; confidence = 0.680000; image = 15; scale_factor = 1.175730; x = 399; y = 218
p = 0.705300; confidence = 0.710000; image = 15; scale_factor = 1.410880; x = 405; y = 216
p = 0.705300; confidence = 0.710000; image = 15; scale_factor = 1.410880; x = 400; y = 218
p = 0.788300; confidence = 0.730000; image = 17; scale_factor = 1.693050; x = 844; y = 311
p = 0.653900; confidence = 0.700000; image = 17; scale_factor = 1.693050; x = 844; y = 312
p = 0.775200; confidence = 0.690000; image = 20; scale_factor = 0.979780; x = 873; y = 361
