p = 0.109600; confidence = 0.500000; image = 300; scale_factor = 0.816480; x = 791; y = 367
p = 0.109600; confidence = 0.550000; image = 300; scale_factor = 0.979780; x = 792; y = 370
p = 0.109600; confidence = 0.500000; image = 300; scale_factor = 0.979780; x = 795; y = 368
p = 0.109600; confidence = 0.530000; image = 300; scale_factor = 0.979780; x = 794; y = 368
p = 0.550800; confidence = 0.630000; image = 300; scale_factor = 1.175730; x = 794; y = 368
p = 0.109600; confidence = 0.530000; image = 300; scale_factor = 1.175730; x = 100; y = 454
p = 0.109600; confidence = 0.530000; image = 300; scale_factor = 1.410880; x = 974; y = 113
p = 0.109600; confidence = 0.540000; image = 300; scale_factor = 1.410880; x = 988; y = 114
p = 0.109600; confidence = 0.520000; image = 300; scale_factor = 1.410880; x = 420; y = 264
p = 0.722200; confidence = 0.830000; image = 300; scale_factor = 1.410880; x = 791; y = 369
p = 0.722200; confidence = 0.810000; image = 300; scale_factor = 1.410880; x = 790; y = 367
p = 0.722200; confidence = 0.810000; image = 300; scale_factor = 1.410880; x = 792; y = 368
p = 0.109600; confidence = 0.560000; image = 300; scale_factor = 1.693050; x = 366; y = 368
p = 0.550800; confidence = 0.670000; image = 300; scale_factor = 1.693050; x = 788; y = 364
p = 0.707300; confidence = 0.740000; image = 300; scale_factor = 1.693050; x = 791; y = 368
p = 0.109600; confidence = 0.570000; image = 300; scale_factor = 2.031660; x = 792; y = 213
p = 0.109600; confidence = 0.570000; image = 300; scale_factor = 2.031660; x = 793; y = 213
p = 0.109600; confidence = 0.560000; image = 300; scale_factor = 2.031660; x = 795; y = 366
p = 0.109600; confidence = 0.500000; image = 300; scale_factor = 2.031660; x = 166; y = 406
p = 0.109600; confidence = 0.550000; image = 300; scale_factor = 2.031660; x = 792; y = 373
p = 0.109600; confidence = 0.590000; image = 301; scale_factor = 0.393750; x = 283; y = 470
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 0.472500; x = 1100; y = 470
p = 0.109600; confidence = 0.540000; image = 301; scale_factor = 0.472500; x = 1096; y = 466
p = 0.722200; confidence = 0.800000; image = 301; scale_factor = 0.567000; x = 1101; y = 462
p = 0.722200; confidence = 0.800000; image = 301; scale_factor = 0.567000; x = 1101; y = 462
p = 0.550800; confidence = 0.690000; image = 301; scale_factor = 0.680400; x = 1110; y = 464
p = 0.707300; confidence = 0.730000; image = 301; scale_factor = 0.680400; x = 1107; y = 466
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 0.816480; x = 1107; y = 467
p = 0.109600; confidence = 0.540000; image = 301; scale_factor = 0.979780; x = 319; y = 505
p = 0.109600; confidence = 0.510000; image = 301; scale_factor = 0.979780; x = 374; y = 533
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 1.175730; x = 112; y = 122
p = 0.109600; confidence = 0.500000; image = 301; scale_factor = 1.175730; x = 111; y = 119
p = 0.109600; confidence = 0.590000; image = 301; scale_factor = 1.175730; x = 316; y = 501
p = 0.109600; confidence = 0.500000; image = 301; scale_factor = 1.410880; x = 564; y = 298
p = 0.109600; confidence = 0.520000; image = 301; scale_factor = 1.410880; x = 437; y = 410
p = 0.109600; confidence = 0.560000; image = 301; scale_factor = 1.410880; x = 452; y = 444
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 1.693050; x = 163; y = 90
p = 0.109600; confidence = 0.520000; image = 301; scale_factor = 1.693050; x = 565; y = 298
p = 0.109600; confidence = 0.510000; image = 301; scale_factor = 1.693050; x = 628; y = 371
p = 0.109600; confidence = 0.520000; image = 301; scale_factor = 2.031660; x = 54; y = 116
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 2.031660; x = 472; y = 349
p = 0.109600; confidence = 0.530000; image = 301; scale_factor = 2.031660; x = 1041; y = 399
p = 0.109600; confidence = 0.510000; image = 301; scale_factor = 2.031660; x = 1064; y = 378
p = 0.109600; confidence = 0.520000; image = 302; scale_factor = 0.393750; x = 263; y = 612
p = 0.109600; confidence = 0.540000; image = 302; scale_factor = 0.472500; x = 1143; y = 451
p = 0.109600; confidence = 0.570000; image = 302; scale_factor = 0.567000; x = 1155; y = 446
p = 0.109600; confidence = 0.550000; image = 302; scale_factor = 0.567000; x = 1154; y = 441
p = 0.109600; confidence = 0.580000; image = 302; scale_factor = 0.567000; x = 196; y = 620
p = 0.109600; confidence = 0.530000; image = 302; scale_factor = 0.567000; x = 780; y = 759
p = 0.109600; confidence = 0.530000; image = 302; scale_factor = 0.680400; x = 1157; y = 442
p = 0.109600; confidence = 0.500000; image = 302; scale_factor = 0.680400; x = 891; y = 539
p = 0.109600; confidence = 0.540000; image = 302; scale_factor = 0.816480; x = 885; y = 533
p = 0.109600; confidence = 0.510000; image = 302; scale_factor = 0.816480; x = 1044; y = 641
p = 0.109600; confidence = 0.520000; image = 302; scale_factor = 1.175730; x = 1058; y = 216
p = 0.109600; confidence = 0.500000; image = 302; scale_factor = 1.175730; x = 1277; y = 205
p = 0.109600; confidence = 0.520000; image = 302; scale_factor = 1.175730; x = 655; y = 397
p = 0.109600; confidence = 0.520000; image = 302; scale_factor = 1.175730; x = 1083; y = 358
p = 0.109600; confidence = 0.540000; image = 302; scale_factor = 1.410880; x = 960; y = 212
p = 0.109600; confidence = 0.500000; image = 302; scale_factor = 1.410880; x = 524; y = 402
p = 0.109600; confidence = 0.530000; image = 302; scale_factor = 1.410880; x = 562; y = 459
p = 0.109600; confidence = 0.560000; image = 302; scale_factor = 1.693050; x = 959; y = 213
p = 0.109600; confidence = 0.510000; image = 302; scale_factor = 1.693050; x = 1103; y = 322
p = 0.109600; confidence = 0.530000; image = 302; scale_factor = 2.031660; x = 959; y = 212
p = 0.109600; confidence = 0.500000; image = 302; scale_factor = 2.031660; x = 1260; y = 301
p = 0.109600; confidence = 0.500000; image = 302; scale_factor = 2.031660; x = 328; y = 345
p = 0.109600; confidence = 0.520000; image = 303; scale_factor = 0.680400; x = 1316; y = 708
p = 0.109600; confidence = 0.580000; image = 303; scale_factor = 0.979780; x = 1205; y = 395
p = 0.550800; confidence = 0.680000; image = 303; scale_factor = 0.979780; x = 1203; y = 402
p = 0.707300; confidence = 0.730000; image = 303; scale_factor = 0.979780; x = 1202; y = 399
p = 0.722200; confidence = 0.820000; image = 303; scale_factor = 1.175730; x = 1202; y = 398
p = 0.707300; confidence = 0.750000; image = 303; scale_factor = 1.175730; x = 1205; y = 399
p = 0.707300; confidence = 0.770000; image = 303; scale_factor = 1.175730; x = 1203; y = 401
p = 0.109600; confidence = 0.510000; image = 303; scale_factor = 1.410880; x = 115; y = 102
p = 0.109600; confidence = 0.570000; image = 303; scale_factor = 1.410880; x = 368; y = 157
p = 0.109600; confidence = 0.550000; image = 303; scale_factor = 1.410880; x = 370; y = 157
p = 0.109600; confidence = 0.550000; image = 303; scale_factor = 1.410880; x = 624; y = 219
p = 0.109600; confidence = 0.530000; image = 303; scale_factor = 1.410880; x = 856; y = 262
p = 0.109600; confidence = 0.540000; image = 303; scale_factor = 1.693050; x = 114; y = 103
p = 0.109600; confidence = 0.510000; image = 303; scale_factor = 2.031660; x = 951; y = 378
p = 0.109600; confidence = 0.520000; image = 304; scale_factor = 0.472500; x = 447; y = 126
p = 0.109600; confidence = 0.510000; image = 304; scale_factor = 0.979780; x = 151; y = 149
p = 0.109600; confidence = 0.530000; image = 304; scale_factor = 1.175730; x = 578; y = 327
p = 0.109600; confidence = 0.570000; image = 304; scale_factor = 1.410880; x = 48; y = 136
p = 0.550800; confidence = 0.650000; image = 304; scale_factor = 1.410880; x = 105; y = 328
p = 0.550800; confidence = 0.690000; image = 304; scale_factor = 1.410880; x = 107; y = 328
p = 0.109600; confidence = 0.510000; image = 304; scale_factor = 1.693050; x = 687; y = 207
p = 0.109600; confidence = 0.510000; image = 304; scale_factor = 1.693050; x = 266; y = 213
p = 0.109600; confidence = 0.550000; image = 304; scale_factor = 1.693050; x = 110; y = 329
p = 0.109600; confidence = 0.520000; image = 304; scale_factor = 2.031660; x = 268; y = 214
p = 0.109600; confidence = 0.530000; image = 304; scale_factor = 2.031660; x = 268; y = 214
p = 0.109600; confidence = 0.510000; image = 304; scale_factor = 2.031660; x = 982; y = 400
p = 0.109600; confidence = 0.560000; image = 304; scale_factor = 2.031660; x = 1238; y = 392
p = 0.109600; confidence = 0.500000; image = 305; scale_factor = 0.680400; x = 756; y = 94
p = 0.109600; confidence = 0.510000; image = 305; scale_factor = 0.816480; x = 144; y = 581
p = 0.109600; confidence = 0.530000; image = 305; scale_factor = 0.979780; x = 682; y = 488
p = 0.109600; confidence = 0.510000; image = 305; scale_factor = 1.410880; x = 1287; y = 242
p = 0.109600; confidence = 0.580000; image = 305; scale_factor = 1.410880; x = 929; y = 277
p = 0.109600; confidence = 0.520000; image = 305; scale_factor = 1.410880; x = 1041; y = 281
p = 0.109600; confidence = 0.540000; image = 305; scale_factor = 1.410880; x = 1288; y = 246
p = 0.109600; confidence = 0.530000; image = 305; scale_factor = 1.410880; x = 1038; y = 281
p = 0.109600; confidence = 0.500000; image = 305; scale_factor = 1.693050; x = 404; y = 159
p = 0.109600; confidence = 0.520000; image = 305; scale_factor = 1.693050; x = 1037; y = 283
p = 0.109600; confidence = 0.540000; image = 305; scale_factor = 1.693050; x = 1266; y = 294
p = 0.109600; confidence = 0.540000; image = 305; scale_factor = 1.693050; x = 1249; y = 329
p = 0.109600; confidence = 0.510000; image = 305; scale_factor = 2.031660; x = 982; y = 142
p = 0.109600; confidence = 0.550000; image = 305; scale_factor = 2.031660; x = 1246; y = 327
p = 0.109600; confidence = 0.560000; image = 305; scale_factor = 2.031660; x = 1246; y = 328
p = 0.109600; confidence = 0.550000; image = 305; scale_factor = 2.031660; x = 1247; y = 329
p = 0.109600; confidence = 0.530000; image = 305; scale_factor = 2.031660; x = 546; y = 383
p = 0.109600; confidence = 0.510000; image = 305; scale_factor = 2.031660; x = 957; y = 399
p = 0.109600; confidence = 0.500000; image = 305; scale_factor = 2.031660; x = 1205; y = 383
p = 0.109600; confidence = 0.500000; image = 306; scale_factor = 1.175730; x = 278; y = 466
p = 0.109600; confidence = 0.550000; image = 306; scale_factor = 1.410880; x = 1243; y = 455
p = 0.109600; confidence = 0.560000; image = 306; scale_factor = 1.693050; x = 74; y = 434
p = 0.109600; confidence = 0.520000; image = 307; scale_factor = 0.567000; x = 848; y = 327
p = 0.109600; confidence = 0.530000; image = 307; scale_factor = 0.567000; x = 846; y = 330
p = 0.109600; confidence = 0.520000; image = 307; scale_factor = 0.680400; x = 850; y = 326
p = 0.109600; confidence = 0.520000; image = 307; scale_factor = 0.816480; x = 92; y = 581
p = 0.109600; confidence = 0.520000; image = 307; scale_factor = 0.979780; x = 600; y = 146
p = 0.109600; confidence = 0.600000; image = 307; scale_factor = 1.175730; x = 626; y = 164
p = 0.109600; confidence = 0.600000; image = 307; scale_factor = 1.175730; x = 626; y = 164
p = 0.109600; confidence = 0.570000; image = 307; scale_factor = 1.175730; x = 621; y = 158
p = 0.550800; confidence = 0.620000; image = 307; scale_factor = 1.175730; x = 623; y = 162
p = 0.550800; confidence = 0.670000; image = 307; scale_factor = 1.410880; x = 169; y = 396
p = 0.109600; confidence = 0.520000; image = 307; scale_factor = 1.693050; x = 1279; y = 339
p = 0.109600; confidence = 0.550000; image = 307; scale_factor = 2.031660; x = 542; y = 112
p = 0.109600; confidence = 0.550000; image = 308; scale_factor = 1.410880; x = 260; y = 271
p = 0.109600; confidence = 0.520000; image = 308; scale_factor = 1.410880; x = 785; y = 280
p = 0.109600; confidence = 0.500000; image = 308; scale_factor = 1.410880; x = 244; y = 339
p = 0.109600; confidence = 0.500000; image = 308; scale_factor = 1.410880; x = 261; y = 273
p = 0.109600; confidence = 0.550000; image = 308; scale_factor = 1.410880; x = 785; y = 281
p = 0.109600; confidence = 0.500000; image = 308; scale_factor = 1.693050; x = 24; y = 287
p = 0.109600; confidence = 0.500000; image = 309; scale_factor = 0.472500; x = 1187; y = 417
p = 0.109600; confidence = 0.520000; image = 309; scale_factor = 0.472500; x = 1192; y = 428
p = 0.550800; confidence = 0.690000; image = 309; scale_factor = 0.567000; x = 1180; y = 416
p = 0.550800; confidence = 0.640000; image = 309; scale_factor = 0.567000; x = 1181; y = 419
p = 0.550800; confidence = 0.690000; image = 309; scale_factor = 0.567000; x = 1182; y = 423
p = 0.550800; confidence = 0.650000; image = 309; scale_factor = 0.567000; x = 1190; y = 420
p = 0.109600; confidence = 0.550000; image = 309; scale_factor = 0.680400; x = 198; y = 395
p = 0.550800; confidence = 0.690000; image = 309; scale_factor = 0.680400; x = 196; y = 391
p = 0.870700; confidence = 0.900000; image = 309; scale_factor = 0.680400; x = 1182; y = 421
p = 0.707300; confidence = 0.760000; image = 309; scale_factor = 0.680400; x = 1192; y = 420
p = 0.722200; confidence = 0.850000; image = 309; scale_factor = 0.680400; x = 1188; y = 421
p = 0.722200; confidence = 0.810000; image = 309; scale_factor = 0.816480; x = 200; y = 394
p = 0.707300; confidence = 0.730000; image = 309; scale_factor = 0.816480; x = 199; y = 391
p = 0.722200; confidence = 0.860000; image = 309; scale_factor = 0.816480; x = 1176; y = 420
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 1186; y = 419
p = 0.707300; confidence = 0.780000; image = 309; scale_factor = 0.816480; x = 204; y = 390
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 199; y = 389
p = 0.722200; confidence = 0.860000; image = 309; scale_factor = 0.816480; x = 1184; y = 418
p = 0.722200; confidence = 0.840000; image = 309; scale_factor = 0.816480; x = 1181; y = 419
p = 0.550800; confidence = 0.640000; image = 309; scale_factor = 0.979780; x = 198; y = 381
p = 0.109600; confidence = 0.580000; image = 309; scale_factor = 0.979780; x = 194; y = 390
p = 0.550800; confidence = 0.690000; image = 309; scale_factor = 0.979780; x = 208; y = 394
p = 0.550800; confidence = 0.620000; image = 309; scale_factor = 0.979780; x = 210; y = 395
p = 0.109600; confidence = 0.520000; image = 309; scale_factor = 0.979780; x = 1172; y = 430
p = 0.109600; confidence = 0.530000; image = 309; scale_factor = 0.979780; x = 993; y = 571
p = 0.550800; confidence = 0.620000; image = 309; scale_factor = 0.979780; x = 1170; y = 429
p = 0.550800; confidence = 0.630000; image = 309; scale_factor = 0.979780; x = 1187; y = 423
p = 0.109600; confidence = 0.600000; image = 309; scale_factor = 1.175730; x = 204; y = 381
p = 0.109600; confidence = 0.600000; image = 309; scale_factor = 1.175730; x = 194; y = 394
p = 0.550800; confidence = 0.610000; image = 309; scale_factor = 1.175730; x = 192; y = 395
p = 0.550800; confidence = 0.640000; image = 309; scale_factor = 1.175730; x = 207; y = 398
p = 0.109600; confidence = 0.520000; image = 309; scale_factor = 1.410880; x = 175; y = 287
p = 0.109600; confidence = 0.500000; image = 309; scale_factor = 1.410880; x = 173; y = 288
p = 0.109600; confidence = 0.520000; image = 309; scale_factor = 1.410880; x = 190; y = 397
