p = 0.991600; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.991600; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.989200; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 867; y = 283
p = 0.991600; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.991600; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.989900; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.991000; confidence = 0.770000; image = 5; scale_factor = 0.979780; x = 180; y = 268
p = 0.991000; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 184; y = 260
p = 1.000000; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 1.000000; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.991000; confidence = 0.750000; image = 5; scale_factor = 0.979780; x = 186; y = 260
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 1.000000; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.989200; confidence = 0.740000; image = 5; scale_factor = 1.175730; x = 870; y = 285
p = 0.989200; confidence = 0.750000; image = 5; scale_factor = 1.175730; x = 869; y = 274
p = 0.992900; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 460; y = 254
p = 0.993400; confidence = 0.810000; image = 6; scale_factor = 2.031660; x = 460; y = 253
p = 0.992900; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 461; y = 254
p = 0.993100; confidence = 0.860000; image = 9; scale_factor = 0.979780; x = 325; y = 268
p = 0.989900; confidence = 0.870000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 1.000000; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 1.000000; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 1.000000; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.989900; confidence = 0.890000; image = 9; scale_factor = 0.979780; x = 826; y = 274
p = 0.992600; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 329; y = 270
p = 0.989900; confidence = 0.810000; image = 9; scale_factor = 1.175730; x = 829; y = 271
p = 0.989200; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 830; y = 277
p = 0.989200; confidence = 0.780000; image = 10; scale_factor = 1.410880; x = 928; y = 237
p = 0.989200; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 926; y = 237
p = 0.989200; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 930; y = 234
p = 0.982900; confidence = 0.710000; image = 10; scale_factor = 1.410880; x = 1274; y = 379
p = 0.989900; confidence = 0.820000; image = 10; scale_factor = 1.693050; x = 927; y = 234
p = 0.989900; confidence = 0.830000; image = 10; scale_factor = 1.693050; x = 928; y = 234
p = 0.989900; confidence = 0.860000; image = 10; scale_factor = 1.693050; x = 928; y = 236
p = 0.989100; confidence = 0.750000; image = 10; scale_factor = 1.693050; x = 1189; y = 339
