p = 0.399800; confidence = 0.710000; image = 1; scale_factor = 0.567000; x = 124; y = 315
p = 0.252600; confidence = 0.700000; image = 1; scale_factor = 0.567000; x = 114; y = 316
p = 0.361400; confidence = 0.510000; image = 1; scale_factor = 0.816480; x = 314; y = 393
p = 0.361400; confidence = 0.560000; image = 1; scale_factor = 0.816480; x = 315; y = 392
p = 0.361400; confidence = 0.550000; image = 1; scale_factor = 0.816480; x = 318; y = 392
p = 0.113500; confidence = 0.500000; image = 1; scale_factor = 1.693050; x = 458; y = 345
p = 0.360100; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1084; y = 186
p = 0.360100; confidence = 0.610000; image = 1; scale_factor = 2.031660; x = 1083; y = 186
p = 0.107900; confidence = 0.470000; image = 2; scale_factor = 0.816480; x = 454; y = 240
p = 0.548000; confidence = 0.580000; image = 2; scale_factor = 0.979780; x = 455; y = 243
p = 0.923600; confidence = 0.650000; image = 2; scale_factor = 0.979780; x = 456; y = 245
p = 0.272400; confidence = 0.520000; image = 2; scale_factor = 0.979780; x = 458; y = 239
p = 0.722900; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 458; y = 237
p = 0.894200; confidence = 0.650000; image = 2; scale_factor = 1.175730; x = 463; y = 242
p = 0.722900; confidence = 0.690000; image = 2; scale_factor = 1.175730; x = 462; y = 238
p = 0.120100; confidence = 0.570000; image = 2; scale_factor = 1.410880; x = 454; y = 239
p = 0.120100; confidence = 0.560000; image = 2; scale_factor = 1.410880; x = 454; y = 234
p = 0.675400; confidence = 0.630000; image = 3; scale_factor = 0.472500; x = 388; y = 332
p = 0.675400; confidence = 0.640000; image = 3; scale_factor = 0.472500; x = 386; y = 330
p = 0.865200; confidence = 0.670000; image = 3; scale_factor = 0.567000; x = 395; y = 319
p = 0.865200; confidence = 0.640000; image = 3; scale_factor = 0.567000; x = 395; y = 311
p = 0.220500; confidence = 0.550000; image = 3; scale_factor = 0.567000; x = 388; y = 321
p = 0.455400; confidence = 0.500000; image = 3; scale_factor = 0.680400; x = 406; y = 319
p = 0.190900; confidence = 0.520000; image = 3; scale_factor = 1.175730; x = 1176; y = 359
p = 0.190900; confidence = 0.520000; image = 3; scale_factor = 1.175730; x = 1177; y = 360
p = 0.224400; confidence = 0.500000; image = 4; scale_factor = 0.680400; x = 503; y = 197
p = 0.173100; confidence = 0.520000; image = 4; scale_factor = 0.979780; x = 1282; y = 347
p = 0.869600; confidence = 0.680000; image = 5; scale_factor = 0.680400; x = 185; y = 270
p = 0.869600; confidence = 0.640000; image = 5; scale_factor = 0.680400; x = 187; y = 269
p = 0.378600; confidence = 0.540000; image = 5; scale_factor = 0.680400; x = 870; y = 277
p = 0.869600; confidence = 0.690000; image = 5; scale_factor = 0.680400; x = 184; y = 273
p = 0.956100; confidence = 0.850000; image = 5; scale_factor = 0.816480; x = 187; y = 269
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.948600; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 867; y = 283
p = 0.956100; confidence = 0.870000; image = 5; scale_factor = 0.816480; x = 184; y = 269
p = 0.956100; confidence = 0.860000; image = 5; scale_factor = 0.816480; x = 186; y = 269
p = 0.952000; confidence = 0.810000; image = 5; scale_factor = 0.816480; x = 867; y = 279
p = 0.944500; confidence = 0.770000; image = 5; scale_factor = 0.979780; x = 180; y = 268
p = 0.944500; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 184; y = 260
p = 0.977300; confidence = 0.940000; image = 5; scale_factor = 0.979780; x = 864; y = 282
p = 0.977300; confidence = 0.910000; image = 5; scale_factor = 0.979780; x = 866; y = 279
p = 0.944500; confidence = 0.750000; image = 5; scale_factor = 0.979780; x = 186; y = 260
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 863; y = 283
p = 0.977300; confidence = 0.950000; image = 5; scale_factor = 0.979780; x = 866; y = 280
p = 0.915400; confidence = 0.740000; image = 5; scale_factor = 1.175730; x = 870; y = 285
p = 0.915400; confidence = 0.750000; image = 5; scale_factor = 1.175730; x = 869; y = 274
p = 0.355300; confidence = 0.540000; image = 5; scale_factor = 1.175730; x = 861; y = 290
p = 0.102900; confidence = 0.550000; image = 5; scale_factor = 1.693050; x = 1337; y = 302
p = 0.372500; confidence = 0.500000; image = 6; scale_factor = 0.680400; x = 1141; y = 319
p = 0.744000; confidence = 0.620000; image = 6; scale_factor = 1.693050; x = 460; y = 254
p = 0.770400; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 460; y = 254
p = 0.783100; confidence = 0.810000; image = 6; scale_factor = 2.031660; x = 460; y = 253
p = 0.770400; confidence = 0.780000; image = 6; scale_factor = 2.031660; x = 461; y = 254
p = 0.108800; confidence = 0.510000; image = 8; scale_factor = 2.031660; x = 153; y = 281
p = 0.108800; confidence = 0.530000; image = 8; scale_factor = 2.031660; x = 153; y = 282
p = 0.563100; confidence = 0.590000; image = 9; scale_factor = 0.816480; x = 329; y = 268
p = 0.484200; confidence = 0.570000; image = 9; scale_factor = 0.816480; x = 824; y = 276
p = 0.927800; confidence = 0.680000; image = 9; scale_factor = 0.816480; x = 332; y = 273
p = 0.927800; confidence = 0.620000; image = 9; scale_factor = 0.816480; x = 331; y = 272
p = 0.484200; confidence = 0.520000; image = 9; scale_factor = 0.816480; x = 827; y = 278
p = 0.958100; confidence = 0.860000; image = 9; scale_factor = 0.979780; x = 325; y = 268
p = 0.943300; confidence = 0.870000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.983400; confidence = 0.900000; image = 9; scale_factor = 0.979780; x = 326; y = 271
p = 0.977300; confidence = 0.920000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.943300; confidence = 0.890000; image = 9; scale_factor = 0.979780; x = 826; y = 274
p = 0.882900; confidence = 0.700000; image = 9; scale_factor = 1.175730; x = 329; y = 262
p = 0.936900; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 329; y = 270
p = 0.882900; confidence = 0.630000; image = 9; scale_factor = 1.175730; x = 329; y = 277
p = 0.920900; confidence = 0.810000; image = 9; scale_factor = 1.175730; x = 829; y = 271
p = 0.915400; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 830; y = 277
p = 0.430700; confidence = 0.570000; image = 9; scale_factor = 1.175730; x = 323; y = 281
p = 0.317700; confidence = 0.610000; image = 9; scale_factor = 1.175730; x = 1217; y = 473
p = 0.282900; confidence = 0.540000; image = 9; scale_factor = 1.410880; x = 324; y = 263
p = 0.223300; confidence = 0.550000; image = 9; scale_factor = 1.410880; x = 830; y = 270
p = 0.635500; confidence = 0.780000; image = 10; scale_factor = 1.410880; x = 928; y = 237
p = 0.635500; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 926; y = 237
p = 0.635500; confidence = 0.750000; image = 10; scale_factor = 1.410880; x = 930; y = 234
p = 0.599900; confidence = 0.710000; image = 10; scale_factor = 1.410880; x = 1274; y = 379
p = 0.432100; confidence = 0.650000; image = 10; scale_factor = 1.410880; x = 1340; y = 396
p = 0.553000; confidence = 0.820000; image = 10; scale_factor = 1.693050; x = 927; y = 234
p = 0.553000; confidence = 0.830000; image = 10; scale_factor = 1.693050; x = 928; y = 234
p = 0.553000; confidence = 0.860000; image = 10; scale_factor = 1.693050; x = 928; y = 236
p = 0.156000; confidence = 0.580000; image = 10; scale_factor = 1.693050; x = 1184; y = 304
p = 0.334100; confidence = 0.690000; image = 10; scale_factor = 1.693050; x = 1230; y = 331
p = 0.102900; confidence = 0.560000; image = 10; scale_factor = 1.693050; x = 1247; y = 304
p = 0.614400; confidence = 0.750000; image = 10; scale_factor = 1.693050; x = 1189; y = 339
p = 0.334100; confidence = 0.610000; image = 10; scale_factor = 1.693050; x = 1238; y = 361
p = 0.334100; confidence = 0.620000; image = 10; scale_factor = 1.693050; x = 1244; y = 371
p = 0.154600; confidence = 0.590000; image = 10; scale_factor = 2.031660; x = 1087; y = 292
p = 0.482800; confidence = 0.750000; image = 10; scale_factor = 2.031660; x = 1142; y = 321
p = 0.154600; confidence = 0.590000; image = 10; scale_factor = 2.031660; x = 1063; y = 319
p = 0.482800; confidence = 0.730000; image = 10; scale_factor = 2.031660; x = 1101; y = 328
p = 0.482800; confidence = 0.750000; image = 10; scale_factor = 2.031660; x = 1126; y = 335
p = 0.518900; confidence = 0.690000; image = 10; scale_factor = 2.031660; x = 1142; y = 316
p = 0.903400; confidence = 0.650000; image = 11; scale_factor = 0.816480; x = 856; y = 260
p = 0.903400; confidence = 0.650000; image = 11; scale_factor = 0.816480; x = 855; y = 299
p = 0.887100; confidence = 0.680000; image = 11; scale_factor = 0.979780; x = 856; y = 259
p = 0.939300; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 261
p = 0.943300; confidence = 0.820000; image = 11; scale_factor = 0.979780; x = 854; y = 295
p = 0.939300; confidence = 0.780000; image = 11; scale_factor = 0.979780; x = 857; y = 297
p = 0.915400; confidence = 0.730000; image = 11; scale_factor = 1.175730; x = 859; y = 295
p = 0.846000; confidence = 0.660000; image = 11; scale_factor = 1.175730; x = 858; y = 300
p = 0.249400; confidence = 0.500000; image = 11; scale_factor = 1.175730; x = 404; y = 356
p = 0.846000; confidence = 0.660000; image = 11; scale_factor = 1.175730; x = 856; y = 299
p = 0.593300; confidence = 0.650000; image = 11; scale_factor = 1.175730; x = 1335; y = 374
p = 0.550800; confidence = 0.660000; image = 11; scale_factor = 1.410880; x = 1220; y = 330
p = 0.432100; confidence = 0.690000; image = 11; scale_factor = 1.410880; x = 1286; y = 326
p = 0.617300; confidence = 0.800000; image = 11; scale_factor = 1.410880; x = 1294; y = 353
p = 0.229000; confidence = 0.740000; image = 11; scale_factor = 1.410880; x = 1250; y = 429
p = 0.617300; confidence = 0.800000; image = 11; scale_factor = 1.410880; x = 1287; y = 367
p = 0.131000; confidence = 0.660000; image = 11; scale_factor = 1.410880; x = 1262; y = 433
p = 0.229000; confidence = 0.760000; image = 11; scale_factor = 1.410880; x = 1272; y = 468
p = 0.172400; confidence = 0.500000; image = 11; scale_factor = 1.693050; x = 270; y = 270
p = 0.239900; confidence = 0.740000; image = 11; scale_factor = 1.693050; x = 1212; y = 433
p = 0.114600; confidence = 0.430000; image = 12; scale_factor = 0.816480; x = 1074; y = 259
p = 0.118500; confidence = 0.500000; image = 12; scale_factor = 0.816480; x = 1064; y = 443
p = 0.334100; confidence = 0.610000; image = 12; scale_factor = 1.693050; x = 1268; y = 349
p = 0.334100; confidence = 0.610000; image = 12; scale_factor = 1.693050; x = 1268; y = 349
p = 0.167200; confidence = 0.560000; image = 13; scale_factor = 0.567000; x = 1193; y = 374
p = 0.224400; confidence = 0.570000; image = 13; scale_factor = 0.680400; x = 495; y = 235
p = 0.782600; confidence = 0.720000; image = 13; scale_factor = 0.680400; x = 1150; y = 226
p = 0.646300; confidence = 0.610000; image = 13; scale_factor = 0.680400; x = 1157; y = 216
p = 0.904000; confidence = 0.810000; image = 13; scale_factor = 0.816480; x = 499; y = 233
p = 0.856500; confidence = 0.820000; image = 13; scale_factor = 0.816480; x = 1147; y = 221
p = 0.856500; confidence = 0.890000; image = 13; scale_factor = 0.816480; x = 1153; y = 217
p = 0.897500; confidence = 0.740000; image = 13; scale_factor = 0.816480; x = 502; y = 239
p = 0.953500; confidence = 0.910000; image = 13; scale_factor = 0.979780; x = 495; y = 237
