p = 0.870700; confidence = 0.900000; image = 309; scale_factor = 0.680400; x = 1182; y = 421
p = 0.870700; confidence = 0.920000; image = 314; scale_factor = 0.979780; x = 1231; y = 381
p = 0.870700; confidence = 0.900000; image = 316; scale_factor = 1.410880; x = 707; y = 349
p = 0.870700; confidence = 0.920000; image = 316; scale_factor = 1.410880; x = 1009; y = 366
p = 0.870700; confidence = 0.920000; image = 316; scale_factor = 1.410880; x = 1009; y = 366
p = 0.870700; confidence = 0.980000; image = 319; scale_factor = 0.680400; x = 1223; y = 374
p = 0.870700; confidence = 0.960000; image = 319; scale_factor = 0.680400; x = 1227; y = 371
p = 0.870700; confidence = 0.970000; image = 319; scale_factor = 0.680400; x = 1227; y = 371
p = 0.870700; confidence = 0.900000; image = 319; scale_factor = 0.816480; x = 593; y = 345
p = 0.870700; confidence = 0.900000; image = 322; scale_factor = 0.680400; x = 359; y = 373
p = 0.870700; confidence = 0.920000; image = 322; scale_factor = 0.816480; x = 1192; y = 449
p = 0.870700; confidence = 0.920000; image = 322; scale_factor = 0.816480; x = 360; y = 371
p = 0.870700; confidence = 0.970000; image = 334; scale_factor = 0.680400; x = 348; y = 326
p = 0.870700; confidence = 0.940000; image = 334; scale_factor = 0.680400; x = 344; y = 321
p = 0.870700; confidence = 0.990000; image = 334; scale_factor = 0.680400; x = 345; y = 323
p = 0.870700; confidence = 0.970000; image = 334; scale_factor = 0.680400; x = 348; y = 326
p = 0.870700; confidence = 0.920000; image = 334; scale_factor = 0.816480; x = 778; y = 344
p = 0.870700; confidence = 0.930000; image = 334; scale_factor = 0.816480; x = 779; y = 344
p = 0.870700; confidence = 0.930000; image = 334; scale_factor = 0.979780; x = 778; y = 346
p = 0.870700; confidence = 0.900000; image = 334; scale_factor = 0.979780; x = 782; y = 347
p = 0.870700; confidence = 0.930000; image = 334; scale_factor = 0.979780; x = 781; y = 342
p = 0.870700; confidence = 0.920000; image = 368; scale_factor = 0.567000; x = 403; y = 313
p = 0.870700; confidence = 0.920000; image = 368; scale_factor = 0.567000; x = 409; y = 317
p = 0.870700; confidence = 0.900000; image = 368; scale_factor = 0.567000; x = 407; y = 319
p = 0.870700; confidence = 0.990000; image = 368; scale_factor = 0.680400; x = 406; y = 311
p = 0.870700; confidence = 0.980000; image = 368; scale_factor = 0.680400; x = 407; y = 314
p = 0.870700; confidence = 0.930000; image = 368; scale_factor = 0.680400; x = 401; y = 316
p = 0.870700; confidence = 0.980000; image = 368; scale_factor = 0.680400; x = 406; y = 314
p = 0.870700; confidence = 0.950000; image = 372; scale_factor = 0.816480; x = 996; y = 293
p = 0.870700; confidence = 0.950000; image = 373; scale_factor = 0.979780; x = 836; y = 272
p = 0.870700; confidence = 0.940000; image = 373; scale_factor = 0.979780; x = 836; y = 271
p = 0.870700; confidence = 0.940000; image = 373; scale_factor = 0.979780; x = 836; y = 271
p = 0.870700; confidence = 0.980000; image = 378; scale_factor = 0.273440; x = 85; y = 499
p = 0.870700; confidence = 0.900000; image = 379; scale_factor = 0.567000; x = 1087; y = 289
p = 0.870700; confidence = 0.920000; image = 379; scale_factor = 0.567000; x = 1087; y = 285
