# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 55
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00007.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00007.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00026.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00093.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00107.ppm
delta = 100
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00111.ppm
scale_factor = 1.00; image = 00117; x =  101; y = 101; confidence = 0.37; MISS
scale_factor = 1.00; image = 00117; x =  173; y =  44; confidence = 0.58; MISS
scale_factor = 1.00; image = 00117; x =  309; y = 100; confidence = 0.25; MISS
scale_factor = 1.00; image = 00117; x =  396; y =  70; confidence = 0.39; MISS
scale_factor = 1.00; image = 00117; x =  504; y =  79; confidence = 0.54; MISS
scale_factor = 1.00; image = 00117; x =  549; y = 100; confidence = 0.58; MISS
scale_factor = 1.00; image = 00117; x =  719; y = 100; confidence = 0.33; MISS
scale_factor = 1.00; image = 00117; x =  826; y = 153; confidence = 0.40; MISS
scale_factor = 1.00; image = 00117; x =  900; y = 100; confidence = 0.11; MISS
scale_factor = 1.00; image = 00117; x = 1006; y = 137; confidence = 0.31; MISS
scale_factor = 1.00; image = 00117; x = 1132; y = 166; confidence = 0.38; MISS
scale_factor = 1.00; image = 00117; x = 1153; y = 133; confidence = 0.17; MISS
scale_factor = 1.00; image = 00117; x = 1331; y = 147; confidence = 0.55; MISS
scale_factor = 1.00; image = 00117; x =   91; y = 222; confidence = 0.54; MISS
scale_factor = 1.00; image = 00117; x =  203; y = 170; confidence = 0.57; MISS
scale_factor = 1.00; image = 00111; x =  363; y = 274; confidence = 0.87; HIT ***
scale_factor = 1.00; image = 00111; x =  365; y = 275; confidence = 0.92; HIT ***
scale_factor = 1.00; image = 00117; x =  509; y = 188; confidence = 0.35; MISS
scale_factor = 1.00; image = 00117; x =  650; y = 188; confidence = 0.57; MISS
scale_factor = 1.00; image = 00117; x =  714; y = 199; confidence = 0.43; MISS
scale_factor = 1.00; image = 00117; x =  788; y = 196; confidence = 0.61; MISS
scale_factor = 1.00; image = 00117; x =  889; y = 262; confidence = 0.57; MISS
scale_factor = 1.00; image = 00117; x =  992; y = 205; confidence = 0.42; MISS
scale_factor = 1.00; image = 00117; x = 1108; y = 188; confidence = 0.23; MISS
scale_factor = 1.00; image = 00117; x = 1232; y = 283; confidence = 0.33; MISS
scale_factor = 1.00; image = 00117; x = 1331; y = 149; confidence = 0.54; MISS
scale_factor = 1.00; image = 00117; x =  132; y = 300; confidence = 0.48; MISS
scale_factor = 1.00; image = 00117; x =  181; y = 310; confidence = 0.37; MISS
scale_factor = 1.00; image = 00117; x =  300; y = 300; confidence = 0.29; MISS
scale_factor = 1.00; image = 00111; x =  370; y = 288; confidence = 0.86; HIT ***
scale_factor = 1.00; image = 00117; x =  504; y = 286; confidence = 0.38; MISS
scale_factor = 1.00; image = 00117; x =  642; y = 311; confidence = 0.52; MISS
scale_factor = 1.00; image = 00117; x =  673; y = 321; confidence = 0.63; MISS
scale_factor = 1.00; image = 00117; x =  710; y = 324; confidence = 0.38; MISS
scale_factor = 1.00; image = 00117; x =  888; y = 262; confidence = 0.59; MISS
scale_factor = 1.00; image = 00117; x =  994; y = 254; confidence = 0.55; MISS
scale_factor = 1.00; image = 00111; x = 1102; y = 312; confidence = 0.88; HIT ***
scale_factor = 1.00; image = 00117; x = 1233; y = 312; confidence = 0.61; MISS
scale_factor = 1.00; image = 00117; x = 1233; y = 309; confidence = 0.62; MISS
scale_factor = 1.00; image = 00117; x =  107; y = 340; confidence = 0.48; MISS
scale_factor = 1.00; image = 00117; x =  179; y = 309; confidence = 0.43; MISS
scale_factor = 1.00; image = 00117; x =  357; y = 322; confidence = 0.54; MISS
scale_factor = 1.00; image = 00117; x =  354; y = 322; confidence = 0.55; MISS
scale_factor = 1.00; image = 00117; x =  525; y = 313; confidence = 0.35; MISS
scale_factor = 1.00; image = 00117; x =  606; y = 312; confidence = 0.19; MISS
scale_factor = 1.00; image = 00117; x =  709; y = 318; confidence = 0.50; MISS
scale_factor = 1.00; image = 00117; x =  843; y = 381; confidence = 0.33; MISS
scale_factor = 1.00; image = 00117; x =  903; y = 405; confidence = 0.54; MISS
scale_factor = 1.00; image = 00117; x =  975; y = 401; confidence = 0.37; MISS
scale_factor = 1.00; image = 00111; x = 1105; y = 326; confidence = 0.78; HIT ***
scale_factor = 1.00; image = 00117; x = 1228; y = 383; confidence = 0.60; MISS
scale_factor = 1.00; image = 00117; x = 1229; y = 379; confidence = 0.58; MISS
scale_factor = 1.00; image = 00117; x =   99; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  199; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  299; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  399; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  499; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  599; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  699; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  799; y = 401; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  930; y = 522; confidence = 0.43; MISS
scale_factor = 1.00; image = 00117; x =  985; y = 490; confidence = 0.53; MISS
scale_factor = 1.00; image = 00117; x = 1105; y = 470; confidence = 0.49; MISS
scale_factor = 1.00; image = 00117; x = 1177; y = 561; confidence = 0.65; MISS
scale_factor = 1.00; image = 00117; x = 1298; y = 505; confidence = 0.23; MISS
scale_factor = 1.00; image = 00117; x =   99; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  199; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  299; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  399; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  499; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  599; y = 501; confidence = 0.00; MISS
scale_factor = 1.00; image = 00117; x =  699; y = 501; confidence = 0.00; MISS
