Image file name: /home/alberto/TIAGO/haar_competition/test_full/00254.ppm
scale_factor = 0.50; x =  165; y =  57; confidence = 0.60; MISS
scale_factor = 0.50; x =  357; y = 237; confidence = 0.50; MISS
scale_factor = 0.50; x =  527; y = 159; confidence = 0.71; MISS
scale_factor = 0.50; x =  525; y = 161; confidence = 0.65; MISS
scale_factor = 0.50; x =  703; y = 153; confidence = 0.50; MISS
scale_factor = 0.50; x =  881; y = 213; confidence = 0.56; MISS
scale_factor = 0.50; x =  973; y = 219; confidence = 0.57; MISS
scale_factor = 0.50; x = 1119; y = 139; confidence = 0.40; MISS
scale_factor = 0.50; x = 1303; y = 139; confidence = 0.58; MISS
scale_factor = 0.50; x =  197; y = 331; confidence = 0.59; MISS
scale_factor = 0.50; x =  193; y = 337; confidence = 0.64; MISS
scale_factor = 0.50; x =  431; y = 267; confidence = 0.31; MISS
scale_factor = 0.50; x =  525; y = 159; confidence = 0.66; MISS
scale_factor = 0.50; x =  737; y = 243; confidence = 0.68; MISS
scale_factor = 0.50; x =  879; y = 211; confidence = 0.57; MISS
scale_factor = 0.50; x =  973; y = 215; confidence = 0.59; MISS
scale_factor = 0.50; x = 1145; y = 277; confidence = 0.45; MISS
scale_factor = 0.50; x = 1243; y = 287; confidence = 0.33; MISS
scale_factor = 0.50; x =  115; y = 411; confidence = 0.49; MISS
scale_factor = 0.50; x =  289; y = 429; confidence = 0.51; MISS
scale_factor = 0.50; x =  379; y = 437; confidence = 0.47; MISS
scale_factor = 0.50; x =  569; y = 437; confidence = 0.40; MISS
scale_factor = 0.50; x =  699; y = 419; confidence = 0.27; MISS
scale_factor = 0.50; x =  845; y = 445; confidence = 0.33; MISS
scale_factor = 0.50; x =  963; y = 403; confidence = 0.27; MISS
scale_factor = 0.50; x = 1195; y = 501; confidence = 0.96; HIT ***
scale_factor = 0.50; x = 1197; y = 497; confidence = 0.99; HIT ***
scale_factor = 0.50; x =  181; y = 589; confidence = 0.51; MISS
scale_factor = 0.50; x =  271; y = 573; confidence = 0.38; MISS
scale_factor = 0.50; x =  443; y = 601; confidence = 0.37; MISS
scale_factor = 0.50; x =  565; y = 557; confidence = 0.40; MISS
scale_factor = 0.50; x =  611; y = 635; confidence = 0.33; MISS
scale_factor = 0.50; x =  827; y = 551; confidence = 0.35; MISS
scale_factor = 0.50; x =  959; y = 521; confidence = 0.33; MISS
scale_factor = 0.50; x = 1201; y = 501; confidence = 0.98; HIT ***
scale_factor = 0.50; x = 1213; y = 493; confidence = 0.99; HIT ***
scale_factor = 0.50; x =  153; y = 689; confidence = 0.45; MISS
scale_factor = 0.50; x =  303; y = 661; confidence = 0.47; MISS
scale_factor = 0.50; x =  301; y = 659; confidence = 0.48; MISS
scale_factor = 0.50; x =  623; y = 687; confidence = 0.44; MISS
scale_factor = 0.50; x =  619; y = 691; confidence = 0.49; MISS
scale_factor = 0.50; x =  793; y = 655; confidence = 0.29; MISS
scale_factor = 0.50; x = 1033; y = 647; confidence = 0.17; MISS
scale_factor = 0.50; x = 1199; y = 523; confidence = 0.48; HIT ***
scale_factor = 0.50; x = 1209; y = 519; confidence = 0.68; HIT ***
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00260.ppm
scale_factor = 0.50; x =   81; y =  71; confidence = 0.73; MISS
scale_factor = 0.50; x =  269; y = 115; confidence = 0.52; MISS
scale_factor = 0.50; x =  469; y = 113; confidence = 0.12; MISS
scale_factor = 0.50; x =  559; y = 139; confidence = 0.12; MISS
scale_factor = 0.50; x =  731; y = 169; confidence = 0.63; MISS
scale_factor = 0.50; x =  853; y = 155; confidence = 0.46; MISS
scale_factor = 0.50; x =  951; y =  85; confidence = 0.55; MISS
scale_factor = 0.50; x = 1109; y = 129; confidence = 0.44; MISS
scale_factor = 0.50; x = 1251; y = 203; confidence = 0.54; MISS
scale_factor = 0.50; x =   99; y = 313; confidence = 0.44; MISS
scale_factor = 0.50; x =  241; y = 275; confidence = 0.58; MISS
scale_factor = 0.50; x =  397; y = 275; confidence = 0.45; MISS
scale_factor = 0.50; x =  559; y = 269; confidence = 0.36; MISS
scale_factor = 0.50; x =  697; y = 277; confidence = 0.31; MISS
scale_factor = 0.50; x =  839; y = 269; confidence = 0.01; MISS
scale_factor = 0.50; x = 1001; y = 287; confidence = 0.29; MISS
scale_factor = 0.50; x = 1089; y = 261; confidence = 0.57; MISS
scale_factor = 0.50; x = 1253; y = 203; confidence = 0.56; MISS
scale_factor = 0.50; x =  185; y = 439; confidence = 0.65; MISS
scale_factor = 0.50; x =  183; y = 439; confidence = 0.65; MISS
scale_factor = 0.50; x =  419; y = 413; confidence = 0.04; MISS
scale_factor = 0.50; x =  497; y = 503; confidence = 0.63; MISS
scale_factor = 0.50; x =  755; y = 505; confidence = 0.85; HIT ***
scale_factor = 0.50; x =  757; y = 503; confidence = 0.87; HIT ***
scale_factor = 0.50; x = 1089; y = 339; confidence = 0.33; MISS
scale_factor = 0.50; x = 1097; y = 261; confidence = 0.60; MISS
scale_factor = 0.50; x = 1255; y = 473; confidence = 0.50; MISS
scale_factor = 0.50; x =  139; y = 563; confidence = 0.30; MISS
scale_factor = 0.50; x =  317; y = 553; confidence = 0.57; MISS
scale_factor = 0.50; x =  321; y = 557; confidence = 0.54; MISS
scale_factor = 0.50; x =  585; y = 541; confidence = 0.47; MISS
