# Please wait, building network...
# 0.075 # 0.124 # 0.075 
# 0.124 # 0.204 # 0.124 
# 0.075 # 0.124 # 0.075 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.002 # 0.010 # 0.029 # 0.057 # 0.071 # 0.057 # 0.029 # 0.010 # 0.002 
# 0.002 # 0.008 # 0.023 # 0.046 # 0.057 # 0.046 # 0.023 # 0.008 # 0.002 
# 0.001 # 0.004 # 0.012 # 0.023 # 0.029 # 0.023 # 0.012 # 0.004 # 0.001 
# 0.000 # 0.001 # 0.004 # 0.008 # 0.010 # 0.008 # 0.004 # 0.001 # 0.000 
# 0.000 # 0.000 # 0.001 # 0.002 # 0.002 # 0.002 # 0.001 # 0.000 # 0.000 
Locale set to C.
Number of images with traffic signs within criterion = 56
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
''Image file name: /home/alberto/TIAGO/haar_competition/test_full/00004.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00019.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00057.ppm
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00065.ppm
delta = 134
Image file name: /home/alberto/TIAGO/haar_competition/test_full/00075.ppm
scale_factor = 0.75; image = 00082; x =  154; y = 180; confidence = 0.55; MISS
scale_factor = 0.75; image = 00082; x =  276; y = 134; confidence = 0.51; MISS
scale_factor = 0.75; image = 00082; x =  295; y = 158; confidence = 0.70; MISS
scale_factor = 0.75; image = 00082; x =  540; y = 138; confidence = 0.20; MISS
scale_factor = 0.75; image = 00082; x =  635; y = 100; confidence = 0.55; MISS
scale_factor = 0.75; image = 00082; x =  730; y = 221; confidence = 0.43; MISS
scale_factor = 0.75; image = 00082; x = 1002; y = 108; confidence = 0.43; MISS
scale_factor = 0.75; image = 00082; x = 1074; y = 138; confidence = 0.19; MISS
scale_factor = 0.75; image = 00082; x = 1184; y = 154; confidence = 0.48; MISS
scale_factor = 0.75; image = 00082; x = 1302; y = 118; confidence = 0.52; MISS
scale_factor = 0.75; image = 00082; x =  137; y = 287; confidence = 0.44; MISS
scale_factor = 0.75; image = 00082; x =  295; y = 157; confidence = 0.72; MISS
scale_factor = 0.75; image = 00082; x =  460; y = 236; confidence = 0.41; MISS
scale_factor = 0.75; image = 00082; x =  538; y = 278; confidence = 0.00; MISS
scale_factor = 0.75; image = 00082; x =  667; y = 253; confidence = 0.35; MISS
scale_factor = 0.75; image = 00082; x =  768; y = 366; confidence = 0.53; MISS
scale_factor = 0.75; image = 00082; x =  961; y = 237; confidence = 0.26; MISS
scale_factor = 0.75; image = 00075; x = 1150; y = 367; confidence = 1.00; HIT ***
scale_factor = 0.75; image = 00075; x = 1159; y = 368; confidence = 0.99; HIT ***
scale_factor = 0.75; image = 00082; x = 1332; y = 268; confidence = 0.26; MISS
scale_factor = 0.75; image = 00082; x =  168; y = 387; confidence = 0.16; MISS
