p = 0.942500; confidence = 0.520000; image = 2; scale_factor = 0.979780; x = 457; y = 242
p = 0.942500; confidence = 0.510000; image = 2; scale_factor = 0.979780; x = 457; y = 246
p = 0.923100; confidence = 0.540000; image = 2; scale_factor = 1.175730; x = 463; y = 241
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 268
p = 0.961600; confidence = 0.650000; image = 5; scale_factor = 0.816480; x = 187; y = 264
p = 0.987500; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 185; y = 266
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 266
p = 0.951900; confidence = 0.640000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.740000; image = 5; scale_factor = 0.979780; x = 861; y = 277
p = 0.983100; confidence = 0.790000; image = 5; scale_factor = 0.979780; x = 864; y = 281
p = 0.951900; confidence = 0.650000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 863; y = 277
p = 0.948700; confidence = 0.700000; image = 5; scale_factor = 0.979780; x = 865; y = 283
p = 0.931200; confidence = 0.640000; image = 5; scale_factor = 1.175730; x = 864; y = 280
p = 0.943200; confidence = 0.500000; image = 9; scale_factor = 0.816480; x = 324; y = 265
p = 0.929500; confidence = 0.550000; image = 9; scale_factor = 0.816480; x = 824; y = 274
p = 0.943200; confidence = 0.570000; image = 9; scale_factor = 0.816480; x = 321; y = 272
p = 0.943200; confidence = 0.530000; image = 9; scale_factor = 0.816480; x = 327; y = 274
p = 0.986500; confidence = 0.720000; image = 9; scale_factor = 0.979780; x = 326; y = 270
p = 0.948700; confidence = 0.620000; image = 9; scale_factor = 0.979780; x = 827; y = 277
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 328; y = 266
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 323; y = 270
p = 0.948700; confidence = 0.690000; image = 9; scale_factor = 0.979780; x = 826; y = 276
p = 0.948700; confidence = 0.680000; image = 9; scale_factor = 0.979780; x = 827; y = 274
p = 0.944600; confidence = 0.660000; image = 9; scale_factor = 1.175730; x = 327; y = 267
p = 0.981700; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 324; y = 270
p = 0.981700; confidence = 0.780000; image = 9; scale_factor = 1.175730; x = 323; y = 271
p = 0.931200; confidence = 0.680000; image = 9; scale_factor = 1.175730; x = 825; y = 282
p = 0.977100; confidence = 0.720000; image = 9; scale_factor = 1.175730; x = 823; y = 276
p = 0.959000; confidence = 0.630000; image = 11; scale_factor = 0.816480; x = 856; y = 291
p = 0.912400; confidence = 0.550000; image = 11; scale_factor = 0.979780; x = 851; y = 260
p = 0.983100; confidence = 0.790000; image = 11; scale_factor = 0.979780; x = 856; y = 294
