p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 268
p = 0.987500; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 185; y = 266
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 266
p = 0.983100; confidence = 0.740000; image = 5; scale_factor = 0.979780; x = 861; y = 277
p = 0.983100; confidence = 0.790000; image = 5; scale_factor = 0.979780; x = 864; y = 281
p = 0.983100; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 863; y = 277
p = 0.986500; confidence = 0.720000; image = 9; scale_factor = 0.979780; x = 326; y = 270
p = 0.981700; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 324; y = 270
p = 0.981700; confidence = 0.780000; image = 9; scale_factor = 1.175730; x = 323; y = 271
p = 0.977100; confidence = 0.720000; image = 9; scale_factor = 1.175730; x = 823; y = 276
p = 0.983100; confidence = 0.790000; image = 11; scale_factor = 0.979780; x = 856; y = 294
p = 0.983100; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 293
p = 0.977100; confidence = 0.780000; image = 11; scale_factor = 1.175730; x = 858; y = 294
p = 0.976400; confidence = 0.760000; image = 13; scale_factor = 0.816480; x = 499; y = 232
p = 0.970300; confidence = 0.740000; image = 13; scale_factor = 0.979780; x = 497; y = 238
p = 0.970300; confidence = 0.750000; image = 13; scale_factor = 0.979780; x = 501; y = 236
p = 0.970300; confidence = 0.770000; image = 13; scale_factor = 0.979780; x = 500; y = 237
p = 1.000000; confidence = 0.800000; image = 23; scale_factor = 0.567000; x = 1005; y = 395
p = 1.000000; confidence = 0.840000; image = 40; scale_factor = 0.472500; x = 1145; y = 415
p = 1.000000; confidence = 0.810000; image = 40; scale_factor = 0.472500; x = 1140; y = 411
p = 1.000000; confidence = 0.850000; image = 40; scale_factor = 0.472500; x = 1137; y = 413
p = 0.976400; confidence = 0.790000; image = 57; scale_factor = 0.979780; x = 1007; y = 380
p = 1.000000; confidence = 0.800000; image = 80; scale_factor = 0.680400; x = 923; y = 385
p = 0.981300; confidence = 0.780000; image = 93; scale_factor = 0.816480; x = 1005; y = 393
p = 0.981300; confidence = 0.770000; image = 93; scale_factor = 0.816480; x = 1004; y = 393
p = 0.981300; confidence = 0.780000; image = 93; scale_factor = 0.816480; x = 1005; y = 397
p = 0.976400; confidence = 0.710000; image = 93; scale_factor = 0.979780; x = 1007; y = 390
p = 1.000000; confidence = 0.810000; image = 103; scale_factor = 0.816480; x = 1024; y = 422
p = 1.000000; confidence = 0.810000; image = 103; scale_factor = 0.816480; x = 1024; y = 420
p = 1.000000; confidence = 0.810000; image = 105; scale_factor = 0.979780; x = 973; y = 440
p = 1.000000; confidence = 0.800000; image = 116; scale_factor = 0.680400; x = 845; y = 441
p = 1.000000; confidence = 0.810000; image = 129; scale_factor = 0.979780; x = 552; y = 291
p = 0.980000; confidence = 0.710000; image = 130; scale_factor = 0.816480; x = 482; y = 325
p = 0.974800; confidence = 0.710000; image = 133; scale_factor = 0.979780; x = 528; y = 351
p = 0.974800; confidence = 0.780000; image = 133; scale_factor = 0.979780; x = 525; y = 354
p = 0.986300; confidence = 0.720000; image = 133; scale_factor = 1.175730; x = 952; y = 263
p = 0.986300; confidence = 0.760000; image = 133; scale_factor = 1.175730; x = 952; y = 261
p = 0.986200; confidence = 0.740000; image = 140; scale_factor = 0.680400; x = 513; y = 257
p = 0.986200; confidence = 0.790000; image = 140; scale_factor = 0.680400; x = 516; y = 261
p = 0.980800; confidence = 0.710000; image = 140; scale_factor = 0.680400; x = 1194; y = 255
p = 0.980800; confidence = 0.710000; image = 140; scale_factor = 0.680400; x = 1192; y = 264
p = 0.991400; confidence = 0.710000; image = 140; scale_factor = 0.816480; x = 512; y = 259
p = 0.973600; confidence = 0.680000; image = 140; scale_factor = 0.816480; x = 513; y = 261
p = 0.973600; confidence = 0.670000; image = 140; scale_factor = 0.816480; x = 518; y = 257
p = 0.983100; confidence = 0.710000; image = 155; scale_factor = 0.979780; x = 872; y = 263
p = 0.983100; confidence = 0.710000; image = 155; scale_factor = 0.979780; x = 872; y = 264
p = 0.977100; confidence = 0.720000; image = 155; scale_factor = 1.175730; x = 870; y = 269
p = 0.978400; confidence = 0.730000; image = 175; scale_factor = 0.680400; x = 907; y = 297
p = 0.978400; confidence = 0.740000; image = 175; scale_factor = 0.680400; x = 911; y = 297
