p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 268
p = 0.961600; confidence = 0.650000; image = 5; scale_factor = 0.816480; x = 187; y = 264
p = 0.987500; confidence = 0.760000; image = 5; scale_factor = 0.816480; x = 185; y = 266
p = 0.987500; confidence = 0.730000; image = 5; scale_factor = 0.816480; x = 184; y = 266
p = 0.951900; confidence = 0.640000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.740000; image = 5; scale_factor = 0.979780; x = 861; y = 277
p = 0.983100; confidence = 0.790000; image = 5; scale_factor = 0.979780; x = 864; y = 281
p = 0.951900; confidence = 0.650000; image = 5; scale_factor = 0.979780; x = 183; y = 262
p = 0.983100; confidence = 0.760000; image = 5; scale_factor = 0.979780; x = 863; y = 277
p = 0.986500; confidence = 0.720000; image = 9; scale_factor = 0.979780; x = 326; y = 270
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 328; y = 266
p = 0.958800; confidence = 0.700000; image = 9; scale_factor = 0.979780; x = 323; y = 270
p = 0.981700; confidence = 0.790000; image = 9; scale_factor = 1.175730; x = 324; y = 270
p = 0.981700; confidence = 0.780000; image = 9; scale_factor = 1.175730; x = 323; y = 271
p = 0.977100; confidence = 0.720000; image = 9; scale_factor = 1.175730; x = 823; y = 276
p = 0.959000; confidence = 0.630000; image = 11; scale_factor = 0.816480; x = 856; y = 291
p = 0.983100; confidence = 0.790000; image = 11; scale_factor = 0.979780; x = 856; y = 294
p = 0.983100; confidence = 0.720000; image = 11; scale_factor = 0.979780; x = 858; y = 293
p = 0.977100; confidence = 0.780000; image = 11; scale_factor = 1.175730; x = 858; y = 294
p = 0.976400; confidence = 0.760000; image = 13; scale_factor = 0.816480; x = 499; y = 232
p = 0.970300; confidence = 0.740000; image = 13; scale_factor = 0.979780; x = 497; y = 238
p = 0.970300; confidence = 0.750000; image = 13; scale_factor = 0.979780; x = 501; y = 236
p = 0.970300; confidence = 0.770000; image = 13; scale_factor = 0.979780; x = 500; y = 237
p = 0.958300; confidence = 0.710000; image = 23; scale_factor = 0.567000; x = 1005; y = 387
p = 0.958300; confidence = 0.780000; image = 23; scale_factor = 0.567000; x = 1007; y = 389
p = 1.000000; confidence = 0.800000; image = 23; scale_factor = 0.567000; x = 1005; y = 395
